0, 1, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00002.png', 4.90026135220045
1, 2, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00003.png', 5.405804273163372
2, 3, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00004.png', 4.897009450770349
3, 4, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00005.png', 4.8991303459115265
4, 5, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00006.png', 5.753283086369729
5, 6, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00007.png', 6.3364951068211965
6, 7, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00008.png', 5.8487340126560765
7, 8, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00009.png', 5.957100934539676
8, 9, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00010.png', 6.101472592539607
9, 10, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00011.png', 5.131983476659575
10, 11, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00012.png', 6.213468633459372
11, 12, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00013.png', 5.789363505103036
12, 13, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00014.png', 5.66594884758382
13, 14, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00015.png', 6.157685219318383
14, 15, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00016.png', 6.118343628453206
15, 16, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00017.png', 4.862241277242714
16, 17, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00018.png', 5.411879392255768
17, 18, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00019.png', 5.728137058632317
18, 19, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00020.png', 5.550673589162677
19, 20, './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_honey,bread/1/flow_x_00021.png', 6.084585634305269
