0, 1, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00002.png', 6.0477115209317835
1, 2, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00003.png', 5.669311218890272
2, 3, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00004.png', 5.941589922521872
3, 4, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00005.png', 5.896637514949028
4, 5, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00006.png', 5.707426516853673
5, 6, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00007.png', 5.821789135735305
6, 7, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00008.png', 6.302793422845429
7, 8, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00009.png', 5.035842131180073
8, 9, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00010.png', 5.491532010705893
9, 10, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00011.png', 5.514218175363727
10, 11, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00012.png', 5.312110165583483
11, 12, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00013.png', 5.4467145541754105
12, 13, './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_coffee,spoon/1/flow_y_00014.png', 5.8068402991230075
