0, 1, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00002.png', 6.290450170928001
1, 2, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00003.png', 4.436132006586393
2, 3, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00004.png', 6.034153825978568
3, 4, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00005.png', 5.848346400846869
4, 5, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00006.png', 4.634063831862551
5, 6, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00007.png', 5.564460684305115
6, 7, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00008.png', 4.492642168780342
7, 8, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00009.png', 3.9077964504612006
8, 9, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00010.png', 4.8005573638002454
9, 10, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00011.png', 4.572033985097106
10, 11, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00012.png', 3.7410588184238898
11, 12, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00013.png', 4.540809340289782
12, 13, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00014.png', 3.9837610480810035
13, 14, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00015.png', 4.034086990140024
14, 15, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00016.png', 3.673595933177228
15, 16, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/2/flow_y_00017.png', 4.20660036822593
