0, 1, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00002.png', 6.532320012759755
1, 2, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00003.png', 5.97044100813262
2, 3, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00004.png', 5.123978551522327
3, 4, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00005.png', 5.335458055767782
4, 5, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00006.png', 5.881111549280698
5, 6, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00007.png', 6.5720545266158705
6, 7, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00008.png', 6.499109309358393
7, 8, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00009.png', 5.184940341864847
8, 9, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00010.png', 6.433686617836723
9, 10, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00011.png', 5.591527002095384
10, 11, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00012.png', 4.5154800583852275
11, 12, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00013.png', 5.745216567971377
12, 13, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00014.png', 5.745236498082614
13, 14, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00015.png', 5.707953474992095
14, 15, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00016.png', 5.760269288601488
15, 16, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00017.png', 6.023344159283852
16, 17, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00018.png', 5.736464719511592
17, 18, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00019.png', 4.941190803335059
18, 19, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00020.png', 4.319014850014361
19, 20, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00021.png', 4.613116791934646
20, 21, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00022.png', 4.169194914061964
21, 22, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00023.png', 3.7548007769383633
22, 23, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00024.png', 4.204167641972572
23, 24, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00025.png', 4.30274684995341
24, 25, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00026.png', 4.2985376065039125
25, 26, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00027.png', 4.199291687443213
26, 27, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00028.png', 4.74061331809872
27, 28, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00029.png', 4.950123943457778
28, 29, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00030.png', 4.629588398872789
29, 30, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00031.png', 5.93681140971198
30, 31, './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/pour_honey,cup/1/flow_y_00032.png', 5.383705170855074
