0, 1, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00002.png', 4.780607096329961
1, 2, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00003.png', 4.09270399761696
2, 3, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00004.png', 3.935590758985586
3, 4, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00005.png', 4.3628392904396955
4, 5, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00006.png', 4.456966005175749
5, 6, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00007.png', 4.736761228241557
6, 7, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00008.png', 4.971138183290689
7, 8, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00009.png', 4.306433754058545
8, 9, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00010.png', 4.002361939353084
9, 10, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00011.png', 4.39664073253191
10, 11, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00012.png', 4.28873144780478
11, 12, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00013.png', 4.094115823053926
12, 13, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00014.png', 4.962339493467542
13, 14, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00015.png', 4.13964793324811
14, 15, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00016.png', 3.6811311728511096
15, 16, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00017.png', 3.573346402631483
16, 17, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00018.png', 3.4493992744999824
17, 18, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00019.png', 3.899360994756573
18, 19, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00019.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00020.png', 4.557657905036066
19, 20, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00020.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00021.png', 4.929140153283171
20, 21, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00021.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00022.png', 5.155825722469878
21, 22, './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00022.png', './GTEA61/flow_x_processed/S2/scoop_coffee,spoon/4/flow_x_00023.png', 4.77128726952007
