0, 1, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00002.png', 5.551452798800231
1, 2, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00003.png', 5.7137267938484175
2, 3, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00004.png', 5.4645172135057605
3, 4, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00005.png', 5.6700409071506614
4, 5, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00006.png', 5.478171734593702
5, 6, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00007.png', 5.2004302506244775
6, 7, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00008.png', 5.553859735066644
7, 8, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00009.png', 4.9925926015242394
8, 9, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00010.png', 5.028391311910837
9, 10, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00011.png', 5.029560154517324
10, 11, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00012.png', 3.928519380019421
11, 12, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00013.png', 3.7315127193007385
12, 13, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00014.png', 4.2234911134361495
13, 14, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00015.png', 3.7695800427585677
14, 15, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00016.png', 4.010685935262687
15, 16, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00017.png', 4.319408733767363
16, 17, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00018.png', 3.8290266609846046
17, 18, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00019.png', 4.35387998432486
18, 19, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00020.png', 3.6624041273415786
19, 20, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00021.png', 3.4862138627609625
20, 21, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00022.png', 3.8116163486779024
21, 22, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00023.png', 3.469648987060686
22, 23, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00024.png', 3.2457873558903283
23, 24, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00025.png', 3.4155985929989376
24, 25, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00026.png', 3.5454848095727973
25, 26, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00027.png', 2.884290156623045
26, 27, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00028.png', 3.3648409405118396
27, 28, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00029.png', 3.3954576024588183
28, 29, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00030.png', 3.173106345102493
29, 30, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00031.png', 3.2980372528812203
30, 31, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00032.png', 3.7106122136745556
31, 32, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00033.png', 3.4287599109297178
32, 33, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00034.png', 4.0389642917788215
33, 34, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00035.png', 3.6640865135792064
34, 35, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00036.png', 3.479569800057491
35, 36, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00037.png', 3.7591726538048
36, 37, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00038.png', 3.244908317642874
37, 38, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00039.png', 2.760520447875498
38, 39, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00040.png', 3.708029977359142
39, 40, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00041.png', 3.8755324081483504
40, 41, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00042.png', 3.141927885098501
41, 42, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00043.png', 3.604950039195384
42, 43, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00044.png', 3.8624702645114577
43, 44, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00045.png', 3.8425285724784395
44, 45, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00046.png', 3.8493927712656495
45, 46, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00047.png', 4.79364275351721
46, 47, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00048.png', 4.234265758472929
47, 48, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00049.png', 4.450686630263433
48, 49, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00050.png', 4.3935842158607015
49, 50, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00051.png', 4.05933614453879
50, 51, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00052.png', 4.472484305706363
51, 52, './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S4/pour_honey,bread/1/flow_x_00053.png', 5.637427632968781
