0, 1, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0002.png', 0.35732363766881403
1, 2, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0003.png', 0.40034942788289807
2, 3, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0004.png', 0.42293801995495833
3, 4, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0005.png', 0.39886112405049146
4, 5, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0006.png', 0.3788738663330856
5, 6, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0007.png', 0.39620997457212137
6, 7, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0008.png', 0.3793758429483261
7, 8, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0009.png', 0.3499396751748089
8, 9, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0010.png', 0.3570312463136519
9, 10, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0011.png', 0.5496550446466909
10, 11, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0012.png', 0.4230843795612508
11, 12, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0013.png', 0.3392658526349516
12, 13, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0014.png', 0.33473566968066326
13, 14, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0015.png', 0.3394664280106232
14, 15, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0016.png', 0.3207356149323207
15, 16, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0017.png', 0.31505892434291005
16, 17, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0018.png', 0.3443604049143102
17, 18, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0019.png', 0.38006540940228256
18, 19, './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_coffee,spoon,cup/3/mmaps/map0020.png', 0.3894868089801597
