0, 1, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0002.png', 0.26269531607768726
1, 2, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0003.png', 0.26644265970245284
2, 3, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0004.png', 0.27761604655793104
3, 4, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0005.png', 0.24889760358856203
4, 5, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0006.png', 0.27872544651825637
5, 6, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0007.png', 0.29064862266958097
6, 7, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0008.png', 0.31575403207754327
7, 8, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0009.png', 0.28126916806918334
8, 9, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0010.png', 0.29766817210307894
9, 10, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0011.png', 0.41326221155077214
10, 11, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0012.png', 0.3051017807307528
11, 12, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0013.png', 0.3020185277308126
12, 13, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0014.png', 0.32475354909924486
13, 14, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0015.png', 0.31411927142816415
14, 15, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0016.png', 0.3067609319738919
15, 16, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0017.png', 0.28792669177553776
16, 17, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0018.png', 0.323520059244514
17, 18, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0019.png', 0.28727157302374484
18, 19, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0020.png', 0.29422267345633846
19, 20, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0021.png', 0.2836188091949229
20, 21, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0022.png', 0.2619733409781646
21, 22, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0023.png', 0.3379605299688222
22, 23, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/mmaps/map0024.png', 0.3034380689396425
