0, 1, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00002.png', 4.850378785242528
1, 2, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00003.png', 5.042257374412569
2, 3, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00004.png', 5.051035472556811
3, 4, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00005.png', 4.843629282447646
4, 5, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00006.png', 5.006469599235438
5, 6, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00007.png', 4.71650620350577
6, 7, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00008.png', 4.530680091822632
7, 8, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00009.png', 4.140542840201739
8, 9, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00010.png', 4.294204591900084
9, 10, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00011.png', 3.991415392655403
10, 11, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00012.png', 4.788271344065864
11, 12, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00013.png', 4.35884599532073
12, 13, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00014.png', 4.4791708197454385
13, 14, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00015.png', 5.0487004851279975
14, 15, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00016.png', 5.054315094055836
15, 16, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00017.png', 4.4109636761125
16, 17, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00018.png', 4.76554128288444
17, 18, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00019.png', 4.76688143428541
18, 19, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00020.png', 4.479351084642823
19, 20, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00021.png', 4.561521859935867
20, 21, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00022.png', 4.72655790514423
21, 22, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00022.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00023.png', 4.463093737838917
22, 23, './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00023.png', './GTEA61/flow_x_processed/S4/scoop_sugar,spoon/2/flow_x_00024.png', 5.129609834912824
