0, 1, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00002.png', 4.721003201943355
1, 2, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00003.png', 6.23529222498955
2, 3, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00004.png', 5.6823415057167095
3, 4, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00005.png', 5.314199901243547
4, 5, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00006.png', 4.761941004846259
5, 6, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00007.png', 4.343169028298855
6, 7, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00008.png', 5.542687311049078
7, 8, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00009.png', 5.017656203055581
8, 9, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00010.png', 5.238164440518549
9, 10, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00011.png', 4.972448237430781
10, 11, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00012.png', 4.757155365879755
11, 12, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00013.png', 5.380012156455955
12, 13, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00014.png', 4.351190181534075
13, 14, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00015.png', 5.054175890576275
14, 15, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00016.png', 4.166011808543942
15, 16, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00017.png', 4.076439869043911
16, 17, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00018.png', 3.6891254635684416
17, 18, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00019.png', 4.8194081277431415
18, 19, './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_jam,spoon/1/flow_y_00020.png', 3.5060778897123663
