0, 1, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00002.png', 4.354262336143479
1, 2, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00003.png', 4.260399420208542
2, 3, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00004.png', 4.4681698054270935
3, 4, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00005.png', 4.0881020728057305
4, 5, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00006.png', 4.881671541710643
5, 6, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00007.png', 4.66456518120769
6, 7, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00008.png', 4.32821287990259
7, 8, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00009.png', 4.221155178297718
8, 9, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00010.png', 4.078704469720838
9, 10, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00011.png', 4.33982213981808
10, 11, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00012.png', 3.928260229436448
11, 12, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00013.png', 4.005991101584905
12, 13, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00014.png', 3.779385266505637
13, 14, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00015.png', 3.9656126733994093
14, 15, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00016.png', 4.103291599947623
15, 16, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00017.png', 3.6469236819567943
16, 17, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00018.png', 3.7301090411624322
17, 18, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00019.png', 3.7845153451332205
18, 19, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00020.png', 3.8614834644064917
19, 20, './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_sugar,spoon,cup/2/flow_x_00021.png', 4.091697280405835
