0, 1, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00002.png', 5.3311405735054915
1, 2, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00003.png', 5.968109527707375
2, 3, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00004.png', 5.6664109695302765
3, 4, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00005.png', 5.193974233613079
4, 5, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00006.png', 4.8972104973561175
5, 6, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00007.png', 5.224125740855744
6, 7, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00008.png', 4.6731105516644815
7, 8, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00009.png', 5.414563468843328
8, 9, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00010.png', 6.296506031824825
9, 10, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00011.png', 6.7596681231335
10, 11, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00012.png', 5.693694671043731
11, 12, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00013.png', 5.990084643396946
12, 13, './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_chocolate,bread/1/flow_x_00014.png', 5.180704434643652
