0, 1, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00002.png', 6.040128548188099
1, 2, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00003.png', 4.893311639818487
2, 3, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00004.png', 5.015380102101965
3, 4, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00005.png', 4.86541874220315
4, 5, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00006.png', 3.67675385230413
5, 6, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00007.png', 3.523966969334582
6, 7, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00008.png', 4.843184639809925
7, 8, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00009.png', 4.657984605308151
8, 9, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00010.png', 3.69385615804054
9, 10, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00011.png', 3.966603226455056
10, 11, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00012.png', 4.811216693346896
11, 12, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00013.png', 5.39833542460318
12, 13, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00014.png', 4.8861609226118325
13, 14, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00015.png', 3.8349374934229474
14, 15, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00016.png', 5.150208873127806
15, 16, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00017.png', 6.125192152831843
16, 17, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00018.png', 5.369531775595613
17, 18, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00019.png', 6.334636237037247
18, 19, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00020.png', 6.354412588103047
19, 20, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00021.png', 6.294624704173749
20, 21, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/4/flow_y_00022.png', 6.30344864918186
