0, 1, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', 0.008567004826127734
1, 2, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', 0.01585281165173505
2, 3, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', 0.023479145960246244
3, 4, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', 0.06854129718949188
4, 5, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', 0.08137310278413933
5, 6, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', 0.07615858206771262
6, 7, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', 0.08999993656575798
7, 8, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', 0.11662788959057581
8, 9, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', 0.1535807097601434
9, 10, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', 0.12649465824833692
10, 11, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', 0.00874590784647976
11, 12, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', 0.016014380314503432
12, 13, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', 0.016817961629347632
13, 14, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', 0.06573435351517115
14, 15, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', 0.08408763944387596
15, 16, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', 0.14386314201995717
16, 17, './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', 0.16231084809886132
