0, 1, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0002.png', 5.630744709904361
1, 2, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0003.png', 5.623580713509785
2, 3, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0004.png', 5.4550463201830155
3, 4, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0005.png', 5.7350704154840395
4, 5, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0006.png', 5.526752277914263
5, 6, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0007.png', 5.340224789920855
6, 7, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0008.png', 5.489645914357441
7, 8, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0009.png', 4.970738772015895
8, 9, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0010.png', 4.950788229112784
9, 10, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0011.png', 5.041198962972227
10, 11, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0012.png', 4.731587337721139
11, 12, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0013.png', 4.557622840462362
12, 13, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0014.png', 4.7079225514960115
13, 14, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0015.png', 4.812701932671485
14, 15, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0016.png', 5.000752107955131
15, 16, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0017.png', 4.844900773041065
16, 17, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0018.png', 4.384893267772789
17, 18, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0019.png', 4.432461049739045
18, 19, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0020.png', 4.360388429720144
19, 20, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0021.png', 4.147471031920289
20, 21, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0022.png', 4.13709518588515
21, 22, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0023.png', 4.596552541586775
22, 23, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0024.png', 4.3872862134304205
23, 24, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0025.png', 4.145084041194871
24, 25, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0026.png', 4.324917044603534
25, 26, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0027.png', 4.5629417169595285
26, 27, './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/rgb/rgb0028.png', 4.023222082751147
