0, 1, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0002.png', 0.1994726609673858
1, 2, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0003.png', 0.2246473069794775
2, 3, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0004.png', 0.15423664821776323
3, 4, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0005.png', 0.11421162166750766
4, 5, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0006.png', 0.08273337732054548
5, 6, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0007.png', 0.06015034809590973
6, 7, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0008.png', 0.03721733010056118
7, 8, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0009.png', 0.01649736862931219
8, 9, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0011.png', 0.36708875901073373
10, 11, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0012.png', 0.23315634701798327
11, 12, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0013.png', 0.20418276131157723
12, 13, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0014.png', 0.17326684896553107
13, 14, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0015.png', 0.15301771256260827
14, 15, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0016.png', 0.11724235939315819
15, 16, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0017.png', 0.09678221028096544
16, 17, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0018.png', 0.05412197507430938
17, 18, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0018.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0019.png', 0.01911102628555858
18, 19, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0019.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0020.png', -0.0
19, 20, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0020.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0021.png', -0.0
20, 21, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0021.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0022.png', -0.0
21, 22, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0022.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0023.png', -0.0
22, 23, './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0023.png', './GTEA61/processed_frames2/S1/spread_peanut,spoon,bread/2/mmaps/map0024.png', -0.0
