0, 1, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0002.png', 6.080402685458418
1, 2, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0003.png', 6.02337247638674
2, 3, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0004.png', 5.887089890787223
3, 4, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0005.png', 5.822187561394497
4, 5, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0006.png', 5.7699241582884335
5, 6, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0007.png', 5.697471835916589
6, 7, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0008.png', 5.23029143825543
7, 8, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0009.png', 5.329126272931487
8, 9, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0010.png', 5.287519966757216
9, 10, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0011.png', 4.872569708929141
10, 11, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0012.png', 4.825173350832036
11, 12, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0013.png', 4.948470588029786
12, 13, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0014.png', 4.9724243277839095
13, 14, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0015.png', 4.7485832417482134
14, 15, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0016.png', 4.508470094162819
15, 16, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0017.png', 4.488701406730817
16, 17, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0018.png', 4.740787025093079
17, 18, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0019.png', 4.975508711799327
18, 19, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0020.png', 4.950432682950269
19, 20, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0021.png', 5.251000706167185
20, 21, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0022.png', 4.9545706780702226
21, 22, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0023.png', 5.22445620132053
22, 23, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0024.png', 5.1650828357259915
23, 24, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0025.png', 4.724333595994033
24, 25, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0026.png', 4.517871958465403
25, 26, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0027.png', 4.924600758537662
26, 27, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0028.png', 4.847628589283602
27, 28, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0029.png', 4.652236172341951
28, 29, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0030.png', 4.626868197750645
29, 30, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0031.png', 4.935591796267973
30, 31, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0032.png', 5.190283378636513
31, 32, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0033.png', 5.295114123903911
32, 33, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0034.png', 5.323666129095366
33, 34, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0035.png', 5.022983956965765
34, 35, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0036.png', 4.985672194529821
35, 36, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0037.png', 5.10778695461245
36, 37, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0038.png', 5.039620864500822
37, 38, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0039.png', 5.2231299364056465
38, 39, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0040.png', 5.326646944244219
39, 40, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0041.png', 5.113257536902124
40, 41, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0042.png', 5.093649306808752
41, 42, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0043.png', 4.910748898706704
42, 43, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0044.png', 5.051356864361618
43, 44, './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/rgb/rgb0045.png', 4.924406162764913
