0, 1, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00002.png', 4.690202354466806
1, 2, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00003.png', 5.0990608997849325
2, 3, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00004.png', 5.483380346376756
3, 4, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00005.png', 5.507612346659925
4, 5, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00006.png', 4.882669153972792
5, 6, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00007.png', 6.748457149089662
6, 7, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00008.png', 6.270232758405088
7, 8, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00009.png', 6.859276134663842
8, 9, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00010.png', 6.451727482092472
9, 10, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00011.png', 5.620394859661096
10, 11, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00012.png', 5.862115179917866
11, 12, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00013.png', 5.459766975021146
12, 13, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00014.png', 5.535907827452506
13, 14, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00015.png', 5.186885357961048
14, 15, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00016.png', 6.00223092548519
15, 16, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00017.png', 6.195700504544955
16, 17, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00018.png', 6.0945219251493405
17, 18, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00019.png', 6.435045938095612
18, 19, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00020.png', 6.570301064805712
19, 20, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00021.png', 5.388314314394828
20, 21, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00022.png', 4.553668713137137
21, 22, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00023.png', 4.7833377012709
22, 23, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00024.png', 5.7473630530509
23, 24, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00025.png', 6.113187425092839
24, 25, './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/spread_jam,spoon,bread/1/flow_y_00026.png', 6.282259108789214
