0, 1, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0002.png', 5.819592156682912
1, 2, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0003.png', 5.6333943554307035
2, 3, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0004.png', 5.648264904996425
3, 4, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0005.png', 5.714429898559776
4, 5, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0006.png', 5.359313914207579
5, 6, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0007.png', 5.229225048320011
6, 7, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0008.png', 5.221874154168964
7, 8, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0009.png', 5.165023957689685
8, 9, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0010.png', 5.096966692289606
9, 10, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0011.png', 5.1379132449089
10, 11, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0012.png', 5.193871109328404
11, 12, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0013.png', 5.564612752191207
12, 13, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0014.png', 5.8610413850955325
13, 14, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0015.png', 5.690282600742325
14, 15, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0016.png', 5.871062539774225
15, 16, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0017.png', 5.6433900569083475
16, 17, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0018.png', 5.113496808324845
17, 18, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0019.png', 4.7179186703240745
18, 19, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0020.png', 4.945235719512905
19, 20, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0021.png', 5.102591433892657
20, 21, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0022.png', 4.7382805589813835
21, 22, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0023.png', 4.659885554985137
22, 23, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0024.png', 4.638127113579059
23, 24, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0025.png', 5.163870633926424
24, 25, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0026.png', 5.214201131726222
25, 26, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0027.png', 5.10516738905314
26, 27, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0028.png', 5.05389821737795
27, 28, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0029.png', 4.964656786507382
28, 29, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0030.png', 4.754842833796543
29, 30, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0031.png', 4.943687419361047
30, 31, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0032.png', 4.72357706104308
31, 32, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0033.png', 4.82358588969056
32, 33, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0034.png', 4.699975706540224
33, 34, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0035.png', 4.944347594271169
34, 35, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0036.png', 4.711992240312036
35, 36, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0037.png', 4.461330748769269
36, 37, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0038.png', 4.789693767069141
37, 38, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0039.png', 4.402616645334325
38, 39, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0040.png', 4.507592954083107
39, 40, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0041.png', 5.078184405381098
40, 41, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0042.png', 4.78754302682073
41, 42, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0043.png', 4.73905659140735
42, 43, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0044.png', 4.627839211243536
43, 44, './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/3/rgb/rgb0045.png', 4.882013507249897
