0, 1, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00002.png', 6.108703875095629
1, 2, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00003.png', 5.415001480583203
2, 3, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00004.png', 5.376306416007144
3, 4, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00005.png', 5.475134834188121
4, 5, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00006.png', 5.189669445250018
5, 6, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00007.png', 5.6960376493564855
6, 7, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00008.png', 4.410954360163191
7, 8, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00009.png', 4.721155104710656
8, 9, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00010.png', 4.5156796963707455
9, 10, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00011.png', 4.6091786358039455
10, 11, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00012.png', 4.354617104073528
11, 12, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00013.png', 4.096214744170544
12, 13, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00014.png', 4.254222880851865
13, 14, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00015.png', 3.9149013599939217
14, 15, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00016.png', 3.9684972086757813
15, 16, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00017.png', 4.288218089426898
16, 17, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00018.png', 4.6839138667152715
17, 18, './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/put_hotdog,bread/1/flow_x_00019.png', 4.842817842943197
