0, 1, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', 5.754603823549304
1, 2, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', 5.955115739813706
2, 3, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', 6.225633343227249
3, 4, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', 6.230698040241728
4, 5, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', 6.027082416895925
5, 6, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', 5.682833984057078
6, 7, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', 5.385459877847417
7, 8, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', 5.158745530424666
8, 9, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', 5.2337599721581
9, 10, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', 5.346885382525843
10, 11, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', 5.091454951312035
11, 12, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', 4.7672067466359165
12, 13, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', 4.680568183333212
13, 14, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', 4.6711665166388325
14, 15, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', 4.866684969018188
15, 16, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', 5.237197752527104
16, 17, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', 5.3190315156969845
17, 18, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', 5.256980037512666
18, 19, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', 5.155620853908349
19, 20, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', 4.969423963899153
20, 21, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', 5.178365082307597
21, 22, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', 5.412066816207266
22, 23, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', 5.345295218775613
23, 24, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', 5.235263928260091
24, 25, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', 5.444915353633347
25, 26, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0027.png', 5.557806908081571
26, 27, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0028.png', 5.557374252573612
27, 28, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0029.png', 5.566780663056153
28, 29, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0030.png', 5.2910099235221315
29, 30, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0031.png', 4.959650779364204
30, 31, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0032.png', 5.026575324821131
31, 32, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0033.png', 5.055975969839246
32, 33, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0034.png', 5.029211056137303
33, 34, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/rgb/rgb0035.png', 4.70581301921017
