0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0002.png', 0.3671527133943251
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0003.png', 0.3618222208516651
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0004.png', 0.3201841031912511
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0005.png', 0.33054519678548583
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0006.png', 0.36133831283577494
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0007.png', 0.35849184011664226
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0008.png', 0.31338742820682786
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0009.png', 0.32163076481276104
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0010.png', 0.2700159704820157
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0011.png', 0.554714835867333
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0012.png', 0.47869008650942835
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0013.png', 0.434627410946025
12, 13, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0014.png', 0.39965127187541005
13, 14, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0015.png', 0.43137145713189595
14, 15, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0016.png', 0.40833837421923036
15, 16, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0017.png', 0.40563642967747976
16, 17, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0018.png', 0.37002394988068155
17, 18, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0019.png', 0.41788255049761747
18, 19, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0020.png', 0.34210131294340657
19, 20, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0021.png', 0.3768304687820794
20, 21, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0022.png', 0.3915820254962552
21, 22, './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/1/mmaps/map0023.png', 0.39810043553427815
