0, 1, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0002.png', 0.2671213976023318
1, 2, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0003.png', 0.23896798001794564
2, 3, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0004.png', 0.209101652121815
3, 4, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0005.png', 0.1933402457431738
4, 5, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0006.png', 0.1515129124300813
5, 6, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0007.png', 0.11590975622407426
6, 7, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0008.png', 0.12378702542316829
7, 8, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0009.png', 0.08672276213462543
8, 9, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0010.png', 0.11974130011438375
9, 10, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0011.png', 0.37635797377961744
10, 11, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0012.png', 0.2494031186596949
11, 12, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0013.png', 0.24086544193405487
12, 13, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0014.png', 0.22109970612886223
13, 14, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0015.png', 0.2167454952389737
14, 15, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0016.png', 0.2628471957692232
15, 16, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0017.png', 0.17635763711680685
16, 17, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0018.png', 0.1688424008099685
17, 18, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0019.png', 0.13860644201664635
18, 19, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0020.png', 0.16487955193974657
19, 20, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0021.png', 0.16037491881836918
20, 21, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0022.png', 0.1561055107935029
21, 22, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0023.png', 0.1835377859660015
22, 23, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0024.png', 0.11539597300833293
23, 24, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0025.png', 0.22411868244905658
24, 25, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0026.png', 0.2736047706262583
25, 26, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0026.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0027.png', 0.30400495289670987
26, 27, './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0027.png', './GTEA61/processed_frames2/S1/scoop_sugar,spoon/4/mmaps/map0028.png', 0.32132105306816106
