0, 1, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00001.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00002.png', 5.019879596221921
1, 2, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00002.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00003.png', 4.693846904734857
2, 3, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00003.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00004.png', 4.724511913144961
3, 4, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00004.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00005.png', 5.365849624270737
4, 5, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00005.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00006.png', 4.442536671045734
5, 6, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00006.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00007.png', 5.668329166999601
6, 7, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00007.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00008.png', 5.64443837780009
7, 8, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00008.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00009.png', 5.2252324801679775
8, 9, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00009.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00010.png', 5.902741840732859
9, 10, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00010.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00011.png', 5.821256545714602
10, 11, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00011.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00012.png', 5.250647600376348
11, 12, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00012.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00013.png', 5.496818497019474
12, 13, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00013.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00014.png', 4.607505912073555
13, 14, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00014.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00015.png', 5.278319009964942
14, 15, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00015.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00016.png', 5.623705993796351
15, 16, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00016.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00017.png', 5.491453368728355
16, 17, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00017.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00018.png', 5.211227659904636
17, 18, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00018.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00019.png', 4.969067670440251
18, 19, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00019.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00020.png', 5.825078712367545
19, 20, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00020.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00021.png', 4.740733750360598
20, 21, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00021.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00022.png', 5.872415110793366
21, 22, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00022.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00023.png', 5.324702605286826
22, 23, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00023.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00024.png', 5.707266388667688
23, 24, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00024.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00025.png', 5.468868004236776
24, 25, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00025.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00026.png', 5.085015392698371
25, 26, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00026.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00027.png', 5.688110162913618
26, 27, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00027.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00028.png', 5.013779945810436
27, 28, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00028.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00029.png', 5.004621546750403
28, 29, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00029.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00030.png', 4.980079335697735
29, 30, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00030.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00031.png', 5.243633167816916
30, 31, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00031.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00032.png', 4.718082139162275
31, 32, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00032.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00033.png', 4.744835335097647
32, 33, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00033.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00034.png', 4.789844262523226
33, 34, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00034.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00035.png', 4.3479196958211626
34, 35, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00035.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00036.png', 5.216732157693856
35, 36, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00036.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00037.png', 4.696550453499403
36, 37, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00037.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00038.png', 5.000514640575974
37, 38, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00038.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00039.png', 4.685743364934482
38, 39, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00039.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00040.png', 5.6562899349585285
39, 40, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00040.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00041.png', 6.155768865218369
40, 41, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00041.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00042.png', 5.66254665750653
41, 42, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00042.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00043.png', 5.595210351264317
42, 43, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00043.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00044.png', 4.931831726655213
43, 44, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00044.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00045.png', 5.31620648873239
44, 45, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00045.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00046.png', 4.930310279407206
45, 46, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00046.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00047.png', 5.753629711127628
46, 47, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00047.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00048.png', 5.204387336898754
47, 48, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00048.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00049.png', 5.880196513311048
48, 49, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00049.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00050.png', 4.843543851262792
49, 50, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00050.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00051.png', 5.543944115793097
50, 51, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00051.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00052.png', 5.798585373712832
51, 52, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00052.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00053.png', 6.018672844442182
52, 53, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00053.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00054.png', 5.310395561210732
53, 54, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00054.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00055.png', 5.10676432876338
54, 55, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00055.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00056.png', 5.940289193261906
55, 56, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00056.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00057.png', 6.0636939621525245
56, 57, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00057.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00058.png', 5.484147862055003
57, 58, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00058.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00059.png', 5.316938040292382
58, 59, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00059.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00060.png', 5.827205768542189
59, 60, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00060.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00061.png', 5.627219878127507
60, 61, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00061.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00062.png', 5.788959612920345
61, 62, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00062.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00063.png', 5.413740227090125
62, 63, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00063.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00064.png', 5.959180323991471
63, 64, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00064.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00065.png', 4.451969701282095
64, 65, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00065.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00066.png', 5.367076219561827
65, 66, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00066.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00067.png', 4.723222090304503
66, 67, './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00067.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/4/flow_x_00068.png', 5.550086811779996
