0, 1, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00002.png', 6.252230381497205
1, 2, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00003.png', 5.555329880649112
2, 3, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00004.png', 5.189148127189234
3, 4, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00005.png', 5.546517350237624
4, 5, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00006.png', 4.864957615035131
5, 6, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00007.png', 5.609537388534887
6, 7, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00008.png', 5.013212145189285
7, 8, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00009.png', 4.879291798529316
8, 9, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00010.png', 5.480815291716112
9, 10, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00011.png', 5.045940491184376
10, 11, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00012.png', 4.605787011044881
11, 12, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00013.png', 4.334120865060194
12, 13, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00014.png', 4.840077275560631
13, 14, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00015.png', 4.717088047346669
14, 15, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00016.png', 5.021467186872488
15, 16, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00017.png', 4.330880599572577
16, 17, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00018.png', 3.4994465665320145
17, 18, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00019.png', 4.954340174717929
18, 19, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00020.png', 4.667464223653445
19, 20, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00021.png', 4.135134673425954
20, 21, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00022.png', 4.081887854247019
21, 22, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00023.png', 4.524010837104646
22, 23, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00024.png', 4.34128404532986
23, 24, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00024.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00025.png', 4.2592343477015895
24, 25, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00025.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00026.png', 6.198058326848921
25, 26, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00026.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00027.png', 6.236962644297627
26, 27, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00027.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00028.png', 4.7287948799967765
27, 28, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00028.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00029.png', 5.069289325773217
28, 29, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00029.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00030.png', 3.927974474654095
29, 30, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00030.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00031.png', 4.223483624711757
30, 31, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00031.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00032.png', 4.441587630402151
31, 32, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00032.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00033.png', 4.612254389531603
32, 33, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00033.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00034.png', 5.327973771221072
33, 34, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00034.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/3/flow_x_00035.png', 5.778931455900852
