0, 1, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0002.png', 5.8567419986266085
1, 2, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0003.png', 5.789243681608775
2, 3, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0004.png', 5.62295419066599
3, 4, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0005.png', 5.621371607272723
4, 5, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0006.png', 5.74094172641277
5, 6, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0007.png', 5.243817977055502
6, 7, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0008.png', 4.516288114750425
7, 8, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0009.png', 5.015474957098957
8, 9, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0010.png', 5.376063111904433
9, 10, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0011.png', 5.233161633084894
10, 11, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0012.png', 5.137879094253638
11, 12, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0013.png', 5.077157625690987
12, 13, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0014.png', 4.997416331374103
13, 14, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0015.png', 5.053801522607251
14, 15, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0016.png', 5.0258562603935415
15, 16, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0017.png', 4.864859805421747
16, 17, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0018.png', 4.991262578081907
17, 18, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0019.png', 5.078162743399015
18, 19, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0020.png', 5.113916045210331
19, 20, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0021.png', 4.940302104010964
20, 21, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0022.png', 5.366728862177742
21, 22, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0023.png', 4.975097339895417
22, 23, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0024.png', 5.074668935649152
23, 24, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0025.png', 5.176382180390407
24, 25, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0026.png', 4.985385250599805
25, 26, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0027.png', 5.133132665152244
26, 27, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0028.png', 5.573893821779708
27, 28, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0029.png', 5.2500525258470745
28, 29, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0030.png', 5.237534915789289
29, 30, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0031.png', 5.172609575305369
30, 31, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0032.png', 5.657275575381431
31, 32, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0033.png', 5.393466095664736
32, 33, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0034.png', 5.52435054011262
33, 34, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0035.png', 5.875053361800575
34, 35, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0036.png', 5.6917032670011105
35, 36, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0037.png', 5.38173909229257
36, 37, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0038.png', 5.1858340893720865
37, 38, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0039.png', 5.581676392723297
38, 39, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0040.png', 5.418851113728826
39, 40, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0041.png', 5.01546580406872
40, 41, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0042.png', 4.882553232268144
41, 42, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0043.png', 5.097919538593488
42, 43, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0044.png', 5.294393234946207
43, 44, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0045.png', 5.270961120365021
44, 45, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0046.png', 5.460731875157622
45, 46, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0047.png', 5.0845230840015585
46, 47, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0048.png', 5.153913105579814
47, 48, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0049.png', 5.177743378320317
48, 49, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0050.png', 4.7854207551031
49, 50, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0051.png', 4.9678676623751885
50, 51, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0052.png', 5.068470145997331
51, 52, './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/put_bread,bread/2/rgb/rgb0053.png', 5.135915741484146
