0, 1, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00002.png', 5.0152116583615785
1, 2, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00003.png', 5.19964588203584
2, 3, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00004.png', 5.360206700726475
3, 4, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00005.png', 5.717906566619933
4, 5, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00006.png', 6.10048125803305
5, 6, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00007.png', 4.982551423560031
6, 7, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00008.png', 5.985703685469491
7, 8, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00009.png', 5.481961871698884
8, 9, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00010.png', 5.855648425715673
9, 10, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00011.png', 6.969696475084274
10, 11, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00012.png', 6.470067039557042
11, 12, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00013.png', 5.751307005428599
12, 13, './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_sugar,spoon,cup/1/flow_y_00014.png', 6.93756588574073
