0, 1, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00002.png', 4.8419292991775675
1, 2, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00003.png', 4.271656728109634
2, 3, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00004.png', 4.49732178004838
3, 4, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00005.png', 4.780792798592438
4, 5, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00006.png', 4.457361329632353
5, 6, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00007.png', 4.203446259974812
6, 7, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00008.png', 4.694998495528127
7, 8, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00009.png', 4.6414153927389945
8, 9, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00010.png', 4.93049698594889
9, 10, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00011.png', 5.526382760550106
10, 11, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00012.png', 5.315672088128233
11, 12, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00013.png', 5.541430502305279
12, 13, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00014.png', 5.007311866491023
13, 14, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00015.png', 4.244339678822536
14, 15, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00016.png', 4.597046509714011
15, 16, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00017.png', 4.50405077512182
16, 17, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00018.png', 5.6236058789160275
17, 18, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00019.png', 5.656517921881903
18, 19, './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_coffee,spoon,cup/3/flow_x_00020.png', 5.077520756461688
