0, 1, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00002.png', 5.341120747998569
1, 2, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00003.png', 5.3634318793291
2, 3, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00004.png', 5.295016120667021
3, 4, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00005.png', 4.35475611881963
4, 5, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00006.png', 3.7740450887293404
5, 6, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00007.png', 5.353382996039299
6, 7, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00008.png', 4.631501524293422
7, 8, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00009.png', 5.180623818536122
8, 9, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00010.png', 4.774619116929339
9, 10, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00011.png', 5.434993053113468
10, 11, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00012.png', 4.59724898870006
11, 12, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00013.png', 4.723613686008999
12, 13, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00014.png', 4.550174194994174
13, 14, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00015.png', 5.042934558624746
14, 15, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00016.png', 3.8671571720781537
15, 16, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00017.png', 4.580328827455369
16, 17, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00018.png', 5.057251319667183
17, 18, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00019.png', 4.514587100028078
18, 19, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00020.png', 5.658601946338553
19, 20, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00021.png', 4.5196769690605985
20, 21, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00022.png', 5.238089122729716
21, 22, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00023.png', 5.157842439097939
22, 23, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00024.png', 4.11706645625989
23, 24, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00025.png', 4.976374360961842
24, 25, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00026.png', 5.1666605189994685
25, 26, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00027.png', 3.9282159994686645
26, 27, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00028.png', 5.3515595720491
27, 28, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00029.png', 4.923376898566331
28, 29, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00030.png', 5.634756465680211
29, 30, './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/pour_honey,bread/1/flow_y_00031.png', 3.853651776928118
