0, 1, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0002.png', 0.14905670068926336
1, 2, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0003.png', 0.12599462855383672
2, 3, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0004.png', 0.13002714355017975
3, 4, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0005.png', 0.09904875268331154
4, 5, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0006.png', 0.12060452339826214
5, 6, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0007.png', 0.10502155451321277
6, 7, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0008.png', 0.09275144931807935
7, 8, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0009.png', 0.08722485036150443
8, 9, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0010.png', 0.0774277005081217
9, 10, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0011.png', 0.24495464213982654
10, 11, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0012.png', 0.1879182082052664
11, 12, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0013.png', 0.14131519585322402
12, 13, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0014.png', 0.11963961826047574
13, 14, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0015.png', 0.12060452339826214
14, 15, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0016.png', 0.11100029727361019
15, 16, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0017.png', 0.12136460653475757
16, 17, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0018.png', 0.10119359300215597
17, 18, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0019.png', 0.06693242540843544
18, 19, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0020.png', 0.0725515639115144
19, 20, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0021.png', 0.10087270930475079
20, 21, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0022.png', 0.0885043743156912
21, 22, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0023.png', 0.09433686095144492
22, 23, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0024.png', 0.095969062874824
23, 24, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0025.png', 0.0726101071575329
24, 25, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0026.png', 0.07372012142783796
25, 26, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0027.png', 0.08537994022194326
26, 27, './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/mmaps/map0028.png', 0.08148669156960803
