0, 1, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00002.png', 6.377478843167743
1, 2, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00003.png', 5.99205104335639
2, 3, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00004.png', 6.2042198033362075
3, 4, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00005.png', 6.3126831300932
4, 5, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00006.png', 5.939966276679805
5, 6, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00007.png', 5.289585781719032
6, 7, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00008.png', 4.890450033683102
7, 8, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00009.png', 4.220024793646775
8, 9, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00010.png', 4.108048913690479
9, 10, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00011.png', 4.362500670391532
10, 11, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00012.png', 4.570923912600762
11, 12, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00013.png', 5.141613587013187
12, 13, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00014.png', 4.641726839951768
13, 14, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00015.png', 4.831544057648735
14, 15, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00016.png', 4.615875370908249
15, 16, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00017.png', 5.2110918566305
16, 17, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00018.png', 4.159825167980356
17, 18, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00019.png', 4.859434892078271
18, 19, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00020.png', 3.8029515375714693
19, 20, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00021.png', 4.012151819131572
20, 21, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00022.png', 3.521661410928587
21, 22, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00023.png', 3.765340991963649
22, 23, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00024.png', 4.023914132223997
23, 24, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00025.png', 4.209973329748472
24, 25, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00026.png', 4.049681304606938
25, 26, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00027.png', 4.6596525314362385
26, 27, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00028.png', 4.164671153914991
27, 28, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00029.png', 3.853387997937301
28, 29, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00030.png', 3.4008439247993443
29, 30, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00031.png', 3.6983979249403873
30, 31, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00032.png', 3.71248338552747
31, 32, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00033.png', 3.6762215265534777
32, 33, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00034.png', 3.7165480567631977
33, 34, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00035.png', 3.294127919714776
34, 35, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00036.png', 3.2097403380110547
35, 36, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00037.png', 3.388182649485703
36, 37, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00038.png', 4.8119910387390945
37, 38, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00039.png', 4.974785919535377
38, 39, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00040.png', 5.185124704172059
39, 40, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00041.png', 5.573476211899929
40, 41, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00042.png', 5.03195424450268
41, 42, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00043.png', 5.444896240355947
42, 43, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00044.png', 5.522253663715856
43, 44, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00045.png', 5.632670227428045
44, 45, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00046.png', 5.967407436119582
45, 46, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00047.png', 4.886521688966032
46, 47, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00048.png', 5.30348054609339
47, 48, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00049.png', 6.1118180842716505
48, 49, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00050.png', 5.899057894272197
49, 50, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00051.png', 5.957544191466474
50, 51, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00052.png', 5.762391179447279
51, 52, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00053.png', 5.358236113234559
52, 53, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00054.png', 5.150977004896885
53, 54, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00055.png', 5.215790259219162
54, 55, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00056.png', 4.749685557060811
55, 56, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00057.png', 5.517618511418749
56, 57, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00058.png', 5.507581905902319
57, 58, './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/shake_tea,cup/1/flow_x_00059.png', 6.0502830055187555
