0, 1, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00002.png', 5.64786502199604
1, 2, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00003.png', 4.937376157447338
2, 3, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00004.png', 5.3617897487582935
3, 4, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00005.png', 5.269395864742826
4, 5, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00006.png', 4.98866421904219
5, 6, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00007.png', 4.337221035319297
6, 7, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00008.png', 5.0442336151889915
7, 8, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00009.png', 4.400678288537932
8, 9, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00010.png', 4.116825687208022
9, 10, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00011.png', 4.604430880648018
10, 11, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00012.png', 4.999597038609455
11, 12, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00013.png', 5.01235059936848
12, 13, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00014.png', 5.456091052600622
13, 14, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00015.png', 4.962806686627602
14, 15, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00016.png', 5.251314116774022
15, 16, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00017.png', 4.835013677411551
16, 17, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00018.png', 4.362838388959812
17, 18, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00019.png', 4.027009218255801
18, 19, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00020.png', 4.417253319194713
19, 20, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00021.png', 4.3875536075000525
20, 21, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00022.png', 4.386908017141036
21, 22, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00023.png', 4.698637440136918
22, 23, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00024.png', 4.805630876870761
23, 24, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00025.png', 4.063679993126659
24, 25, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00026.png', 3.674049463624379
25, 26, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00027.png', 4.395725035120468
26, 27, './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/pour_mustard,cheese,bread/1/flow_x_00028.png', 4.635443298333168
