0, 1, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0002.png', 0.15554566400178366
1, 2, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0003.png', 0.21913236757873159
2, 3, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0004.png', 0.04440248543083221
3, 4, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0005.png', 0.031645590631186035
4, 5, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0006.png', 0.0255674313980208
5, 6, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0007.png', 0.016657802964878055
6, 7, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0008.png', 0.030078339594110798
7, 8, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0009.png', 0.02143103036196716
8, 9, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0010.png', 0.031858059405500835
9, 10, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0011.png', 0.31852658290649555
10, 11, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0012.png', 0.15801312162814612
11, 12, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0013.png', 0.2059959506956985
12, 13, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0014.png', 0.10480996975609631
13, 14, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0015.png', 0.07143690557092393
14, 15, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0016.png', 0.04181548247050261
15, 16, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0017.png', 0.023253310605531156
16, 17, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0018.png', 0.03521930591942721
17, 18, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0019.png', 0.03319700564388813
18, 19, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/3/mmaps/map0020.png', 0.06978603000007681
