0, 1, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00002.png', 4.979433398369517
1, 2, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00003.png', 4.4028203567039474
2, 3, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00004.png', 5.094489126844535
3, 4, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00005.png', 5.252595204327708
4, 5, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00006.png', 4.93210510032068
5, 6, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00007.png', 4.527834442748517
6, 7, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00008.png', 4.84551014097548
7, 8, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00009.png', 4.975705110660448
8, 9, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00010.png', 5.6092650642342665
9, 10, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00011.png', 6.049502506853633
10, 11, './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/spread_peanut,spoon,bread/1/flow_x_00012.png', 6.072528913102803
