0, 1, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00002.png', 5.074768490561627
1, 2, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00003.png', 5.242675787249325
2, 3, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00004.png', 5.145438833969979
3, 4, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00005.png', 5.504511576492928
4, 5, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00006.png', 4.860527807941147
5, 6, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00007.png', 3.8045876214072045
6, 7, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00008.png', 4.367712419048167
7, 8, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00009.png', 5.3589066332772015
8, 9, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00010.png', 5.778542987682805
9, 10, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00011.png', 4.45819058486339
10, 11, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00012.png', 5.01762665467798
11, 12, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00013.png', 4.451648919684322
12, 13, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00014.png', 4.045475590717684
13, 14, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00015.png', 4.7463541921033325
14, 15, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00016.png', 5.166663141275552
15, 16, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00017.png', 5.553081320658024
16, 17, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00018.png', 5.3494968482185765
17, 18, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00019.png', 4.8836493748567005
18, 19, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00020.png', 4.098955299451729
19, 20, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00021.png', 4.872167218720496
20, 21, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00022.png', 5.229579669230011
21, 22, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00023.png', 5.703787771104105
22, 23, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00024.png', 5.30629494667063
23, 24, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00025.png', 5.015989362532978
24, 25, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00026.png', 4.953211155201159
25, 26, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00027.png', 5.228786853416327
26, 27, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00028.png', 4.528395648503328
27, 28, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00029.png', 4.954380884908933
28, 29, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00030.png', 5.455738047293921
29, 30, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00031.png', 5.526928180313494
30, 31, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00032.png', 5.524895157058676
31, 32, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00033.png', 5.688675335038546
32, 33, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00034.png', 5.989879927340538
33, 34, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00035.png', 5.796360279018933
34, 35, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00036.png', 6.117248110144503
35, 36, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00037.png', 5.923389831588283
36, 37, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00038.png', 5.518538618028384
37, 38, './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/pour_chocolate,bread/1/flow_y_00039.png', 5.2381703797219465
