0, 1, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00002.png', 5.363317929199573
1, 2, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00003.png', 5.950496311115857
2, 3, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00004.png', 5.182206642662993
3, 4, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00005.png', 5.9551414693541425
4, 5, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00006.png', 5.3110167308927085
5, 6, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00007.png', 5.647452035374028
6, 7, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00008.png', 6.599310678042431
7, 8, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00009.png', 5.245551386800299
8, 9, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00010.png', 5.658702543988558
9, 10, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00011.png', 6.591465053605324
10, 11, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00012.png', 5.632785877709187
11, 12, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00013.png', 5.944576047344478
12, 13, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00014.png', 4.958516556173509
13, 14, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00015.png', 4.941366773984128
14, 15, './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/stir_spoon,cup/1/flow_y_00016.png', 6.750690420366777
