0, 1, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.062228365007465036
1, 2, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0003.png', 0.00874590784647976
2, 3, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0004.png', -0.0
3, 4, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0005.png', -0.0
4, 5, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0006.png', -0.0
5, 6, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0007.png', -0.0
6, 7, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0008.png', 0.0089242343066975
7, 8, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0009.png', 0.016175660503542855
8, 9, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0010.png', 0.00874590784647976
9, 10, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0011.png', 0.11943617454634306
10, 11, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0012.png', 0.1178047589545859
11, 12, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0013.png', 0.020663150758510024
12, 13, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0014.png', 0.013641547481076557
13, 14, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0015.png', -0.0
14, 15, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0016.png', -0.0
15, 16, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0017.png', -0.0
16, 17, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0018.png', 0.011708225046582676
17, 18, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0019.png', 0.018719402445230373
18, 19, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0020.png', 0.00874590784647976
19, 20, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0021.png', 0.17259229606237117
20, 21, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0022.png', 0.2799065077079499
21, 22, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0023.png', 0.2353926872455063
22, 23, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0024.png', 0.2254189862741855
23, 24, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0025.png', 0.2287772267373494
24, 25, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0026.png', 0.2815266152965346
25, 26, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0027.png', 0.2530064065975955
26, 27, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/mmaps/map0028.png', 0.311501499884718
