0, 1, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00002.png', 5.127602733304636
1, 2, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00003.png', 4.805667954537549
2, 3, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00004.png', 4.935921545722418
3, 4, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00005.png', 4.7744374331581785
4, 5, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00006.png', 5.014332509518915
5, 6, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00007.png', 4.07440783581626
6, 7, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00008.png', 4.177795787504684
7, 8, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00009.png', 4.845498481128892
8, 9, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00010.png', 3.895834056806746
9, 10, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00011.png', 4.9894897726237755
10, 11, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00012.png', 4.592762891508051
11, 12, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00013.png', 3.9947035554614745
12, 13, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00014.png', 4.091540767674836
13, 14, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00015.png', 4.786292404710794
14, 15, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00016.png', 4.050479382604019
15, 16, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00017.png', 3.949283989875631
16, 17, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00018.png', 3.849414031020312
17, 18, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00019.png', 4.4491211714393915
18, 19, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00020.png', 4.644646216837652
19, 20, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00021.png', 4.631212549408088
20, 21, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00022.png', 5.018134576379992
21, 22, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00023.png', 4.351563384945442
22, 23, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00024.png', 4.840704354654491
23, 24, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00025.png', 4.177012344578011
24, 25, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00026.png', 4.549560715593528
25, 26, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00027.png', 5.24737137253617
26, 27, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00028.png', 5.034403956297802
27, 28, './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/scoop_jam,spoon/1/flow_y_00029.png', 5.722802738251775
