0, 1, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00002.png', 5.273314151500326
1, 2, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00003.png', 5.350864373103747
2, 3, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00004.png', 5.824672114950155
3, 4, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00005.png', 5.34031209334938
4, 5, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00006.png', 5.1244311609991815
5, 6, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00007.png', 5.651945103797196
6, 7, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00008.png', 5.0976447345625155
7, 8, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00009.png', 4.378693922041301
8, 9, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00010.png', 4.44394274339575
9, 10, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00011.png', 5.254933234721947
10, 11, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00012.png', 4.422043191446847
11, 12, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00013.png', 3.949583319093364
12, 13, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00014.png', 4.862012038441275
13, 14, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00015.png', 3.849001342623961
14, 15, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00016.png', 4.4375122814935
15, 16, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00017.png', 4.991620773505035
16, 17, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00018.png', 4.532505168533214
17, 18, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00019.png', 3.8845826623661677
18, 19, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00020.png', 3.8600549811752973
19, 20, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00021.png', 3.6874998113584985
20, 21, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00022.png', 3.8833305513879575
21, 22, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00023.png', 3.9905376289136605
22, 23, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00024.png', 3.356929480555354
23, 24, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00025.png', 3.775819722496111
24, 25, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00026.png', 3.9702728061774883
25, 26, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00027.png', 3.9500201945846065
26, 27, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00028.png', 4.3737990537127605
27, 28, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00029.png', 3.3595789979308583
28, 29, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00030.png', 3.0149098413013307
29, 30, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00031.png', 4.327969695907678
30, 31, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00032.png', 4.2133757009848285
31, 32, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00033.png', 3.8694623950535045
32, 33, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00034.png', 3.7584279451741613
33, 34, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00035.png', 3.3316297408264886
34, 35, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00036.png', 3.961231168829504
35, 36, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00037.png', 3.383308944688307
36, 37, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00038.png', 2.8882206867340403
37, 38, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00039.png', 3.063246417276466
38, 39, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00040.png', 3.7445297802680457
39, 40, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00041.png', 3.595768283939401
40, 41, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00042.png', 3.7030959166045045
41, 42, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00043.png', 4.4905174343786625
42, 43, './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_honey,bread/1/flow_y_00044.png', 4.957862550358182
