0, 1, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0002.png', 4.803371852389332
1, 2, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0003.png', 5.003941457153279
2, 3, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0004.png', 4.934295186676511
3, 4, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0005.png', 5.120657407720236
4, 5, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0006.png', 5.001455193793635
5, 6, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0007.png', 4.268320269264588
6, 7, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0008.png', 4.628971010023268
7, 8, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0009.png', 4.36921687389385
8, 9, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0010.png', 4.285877543299254
9, 10, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0011.png', 4.729581448369605
10, 11, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0012.png', 4.9008468099161036
11, 12, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0013.png', 4.400341889186328
12, 13, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0014.png', 5.1603337993195115
13, 14, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0015.png', 5.687413354729071
14, 15, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0016.png', 5.792686404806949
15, 16, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0017.png', 5.9919282100925
16, 17, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0018.png', 6.365733336460231
17, 18, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0019.png', 6.49739185898414
18, 19, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0020.png', 6.281670594355304
19, 20, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0021.png', 6.533813291475298
20, 21, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0022.png', 6.663133685391339
21, 22, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0023.png', 6.376722384147252
22, 23, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0024.png', 5.862705917534643
23, 24, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0025.png', 5.5551147683883295
24, 25, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0026.png', 5.536087527690792
25, 26, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0027.png', 5.225424422948994
26, 27, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0028.png', 5.4435298342858
27, 28, './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/scoop_jam,spoon/1/rgb/rgb0029.png', 5.63964040095163
