0, 1, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00002.png', 5.625431180702224
1, 2, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00003.png', 4.9449116152808905
2, 3, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00004.png', 4.811372167271168
3, 4, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00005.png', 5.224927498505227
4, 5, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00006.png', 5.552495752632181
5, 6, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00007.png', 4.78864491778398
6, 7, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00008.png', 4.793812670314249
7, 8, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00009.png', 5.308336334255861
8, 9, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00010.png', 5.196319955870263
9, 10, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00011.png', 4.153109023528498
10, 11, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00012.png', 4.607502364367337
11, 12, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00013.png', 3.751214570264276
12, 13, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00014.png', 3.091447724325642
13, 14, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00015.png', 5.011624778480438
14, 15, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00016.png', 3.369537470184397
15, 16, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00017.png', 4.066636927001328
16, 17, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00018.png', 4.17708490146594
17, 18, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00019.png', 4.051375460619464
18, 19, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00020.png', 3.973167029250713
19, 20, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00021.png', 4.481590044778278
20, 21, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00022.png', 5.039922378293404
21, 22, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00023.png', 4.638026851800274
22, 23, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00024.png', 4.346786601622132
23, 24, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00025.png', 3.4673909384585926
24, 25, './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_ketchup,hotdog,bread/1/flow_y_00026.png', 4.7502271562132705
