0, 1, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00002.png', 6.502233240168335
1, 2, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00003.png', 5.373954003015655
2, 3, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00004.png', 6.244189106988667
3, 4, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00005.png', 6.474850027487579
4, 5, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00006.png', 6.410829805090896
5, 6, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00007.png', 5.235837143384072
6, 7, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00008.png', 5.531356573879753
7, 8, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00009.png', 5.761603900476282
8, 9, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00010.png', 5.617658320268261
9, 10, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00011.png', 4.828533450004458
10, 11, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/2/flow_y_00012.png', 4.708267248612875
