0, 1, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0002.png', 5.102748514281964
1, 2, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0003.png', 4.816398123243389
2, 3, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0004.png', 4.931103265162864
3, 4, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0005.png', 4.791522871450867
4, 5, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0006.png', 4.437168217342648
5, 6, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0007.png', 4.987023095976408
6, 7, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0008.png', 4.619238425055334
7, 8, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0009.png', 4.772966187079496
8, 9, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0010.png', 4.6573708177132325
9, 10, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0011.png', 5.086731158682897
10, 11, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0012.png', 5.13347862913001
11, 12, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0013.png', 5.043676905979842
12, 13, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0014.png', 4.694515663141429
13, 14, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0015.png', 4.8289767109511015
14, 15, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0016.png', 4.701471726796281
15, 16, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0017.png', 4.638733745491661
16, 17, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0018.png', 4.449193344334943
17, 18, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0019.png', 4.9896160597747805
18, 19, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0020.png', 5.4133290787111035
19, 20, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/4/rgb/rgb0021.png', 5.336345853826792
