0, 1, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0002.png', 0.4029229122601921
1, 2, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0003.png', 0.347634789885643
2, 3, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0004.png', 0.35030109862561
3, 4, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0005.png', 0.30760640937925443
4, 5, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0006.png', 0.27972212281400366
5, 6, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0007.png', 0.31544133152166065
6, 7, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0008.png', 0.27579951322029583
7, 8, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0009.png', 0.2503739960317002
8, 9, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0010.png', 0.2576223656238703
9, 10, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0011.png', 0.4959985319963367
10, 11, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0012.png', 0.39864822337039124
11, 12, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0013.png', 0.31689923325306346
12, 13, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0014.png', 0.27274695989890957
13, 14, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0015.png', 0.2862875395668452
14, 15, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0016.png', 0.2675357914804433
15, 16, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0017.png', 0.29454653107934836
16, 17, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0018.png', 0.2997402925977393
17, 18, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0019.png', 0.26648038820318276
18, 19, './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/put_hotdog,bread/1/mmaps/map0020.png', 0.2822248358246682
