0, 1, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0002.png', 5.197059511585203
1, 2, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0003.png', 4.832137662616657
2, 3, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0004.png', 5.188276968922175
3, 4, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0005.png', 5.536491730565282
4, 5, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0006.png', 5.253176675697605
5, 6, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0007.png', 5.2337845026022105
6, 7, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0008.png', 5.343870543027462
7, 8, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0009.png', 4.40031769185661
8, 9, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0010.png', 4.811251404118552
9, 10, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0011.png', 4.967456341835147
10, 11, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0012.png', 4.858475723132255
11, 12, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0013.png', 4.912577919927893
12, 13, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0014.png', 5.338658260948501
13, 14, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0015.png', 5.531080344505413
14, 15, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0016.png', 4.775759281351336
15, 16, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0017.png', 4.903457085925654
16, 17, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0018.png', 4.327655829948485
17, 18, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0019.png', 4.5394168012096525
18, 19, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0020.png', 4.8608224195071985
19, 20, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0021.png', 4.391928838098612
20, 21, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0022.png', 4.408663474381103
21, 22, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0023.png', 4.434587922537856
22, 23, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0024.png', 4.536774278355322
23, 24, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0025.png', 4.625881679628583
24, 25, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0026.png', 4.575180160696492
25, 26, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0027.png', 4.39089558347101
26, 27, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0028.png', 4.437287649307234
27, 28, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0029.png', 4.832269585328903
28, 29, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/3/rgb/rgb0030.png', 5.107479104133371
