0, 1, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0002.png', 0.2840583303408163
1, 2, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0003.png', 0.23099124316811365
2, 3, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0004.png', 0.1331853270638506
3, 4, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0005.png', 0.03708028207117289
4, 5, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0006.png', 0.015284999937458674
5, 6, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0007.png', 0.009013185442534974
6, 7, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0008.png', 0.009013185442534974
7, 8, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0009.png', 0.02362947096142899
8, 9, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0010.png', 0.027184969546309088
9, 10, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0011.png', 0.4198566313320662
10, 11, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0012.png', 0.29303369482041874
11, 12, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0013.png', 0.2349541204170414
12, 13, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0014.png', 0.17662546658075548
13, 14, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0015.png', 0.05606534699512437
14, 15, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0016.png', 0.028349405807602437
15, 16, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0017.png', 0.00874590784647976
16, 17, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0018.png', 0.02900018697752428
17, 18, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0019.png', 0.047865016388468275
18, 19, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0020.png', 0.03646221512555808
19, 20, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0021.png', 0.060027567864112806
20, 21, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0022.png', 0.06984516110871722
21, 22, './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_sugar,spoon/1/mmaps/map0023.png', 0.2640986813187543
