0, 1, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00002.png', 6.6362488762361025
1, 2, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00003.png', 6.399585830410041
2, 3, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00004.png', 5.040393545791655
3, 4, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00005.png', 4.6232496257350055
4, 5, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00006.png', 5.463423444649687
5, 6, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00007.png', 5.338648692650331
6, 7, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00008.png', 4.68049455097
7, 8, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00009.png', 4.1670394909892625
8, 9, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00010.png', 4.262184222735086
9, 10, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00011.png', 3.935498840454645
10, 11, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/3/flow_y_00012.png', 4.974699449568625
