0, 1, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0002.png', 0.13714817478791352
1, 2, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0003.png', 0.12529353545310756
2, 3, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0004.png', 0.07073059925439423
3, 4, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0005.png', 0.06866008992480509
4, 5, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0006.png', 0.06681286257237162
5, 6, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0007.png', 0.02928847677254669
6, 7, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0008.png', 0.02362947096142899
7, 8, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0009.png', 0.014055486145585088
8, 9, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0010.png', 0.013558501966542553
9, 10, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0011.png', 0.17644693009758383
10, 11, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0012.png', 0.1525480068935327
11, 12, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0013.png', 0.13293946488477273
12, 13, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0014.png', 0.11928352164564758
13, 14, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0015.png', 0.09851045812885992
14, 15, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0016.png', 0.0849871984843609
15, 16, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0017.png', 0.04288100898344421
16, 17, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0018.png', 0.033547482861527006
17, 18, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0019.png', 0.02534531722598733
18, 19, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0020.png', 0.007113223678537203
19, 20, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0021.png', 0.03646221512555808
20, 21, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0022.png', 0.04013844854151959
21, 22, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0023.png', 0.02173672794550991
22, 23, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0024.png', 0.03508063498110406
23, 24, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0025.png', 0.0429474081492454
24, 25, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0026.png', 0.03263463034012862
25, 26, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0027.png', 0.016897938532761256
26, 27, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0028.png', 0.023479145960246244
27, 28, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0029.png', 0.02173672794550991
28, 29, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0030.png', 0.009279209349486487
29, 30, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0031.png', -0.0
30, 31, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0032.png', 0.00874590784647976
31, 32, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0033.png', 0.01942326508122074
32, 33, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0034.png', 0.01641704712109765
33, 34, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0036.png', 0.013475369121058149
35, 36, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0037.png', 0.023554331536066793
36, 37, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0038.png', 0.022951540121012557
37, 38, './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/pour_honey,cup/1/mmaps/map0039.png', 0.04773541061022521
