0, 1, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00002.png', 6.332474217807124
1, 2, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00003.png', 5.760201723151349
2, 3, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00004.png', 5.569527336247706
3, 4, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00005.png', 5.083816990524319
4, 5, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00006.png', 5.208147706650815
5, 6, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00007.png', 4.8110122188939695
6, 7, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00008.png', 5.251722004382164
7, 8, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00009.png', 5.247241011190634
8, 9, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00010.png', 5.0040003888745135
9, 10, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00011.png', 4.6801037659183695
10, 11, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00012.png', 4.625213300261754
11, 12, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00013.png', 4.653089937825272
12, 13, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00014.png', 4.429401865604241
13, 14, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00015.png', 3.8899343174793795
14, 15, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00016.png', 4.525126001760252
15, 16, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00017.png', 4.193810104050352
16, 17, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00018.png', 4.0604396714696165
17, 18, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00019.png', 4.170746989472862
18, 19, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00020.png', 3.954712451142107
19, 20, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00021.png', 4.29877450291254
20, 21, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00022.png', 3.7730788257349905
21, 22, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00023.png', 4.9699036001136925
22, 23, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00024.png', 5.030949463414114
23, 24, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00025.png', 4.407726273265933
24, 25, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00026.png', 4.194743437281047
25, 26, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00027.png', 4.0797149325761035
26, 27, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00028.png', 3.9756204797027674
27, 28, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00029.png', 4.1260563725360955
28, 29, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00030.png', 3.8764468384889623
29, 30, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00031.png', 3.6853910455586303
30, 31, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00032.png', 3.625472420496356
31, 32, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00033.png', 4.847422827869946
32, 33, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00034.png', 5.204904538355456
33, 34, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00035.png', 5.0813725568972465
34, 35, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00036.png', 5.036843808616069
35, 36, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00037.png', 5.641794508532793
36, 37, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00038.png', 4.161380729785569
37, 38, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00039.png', 5.237141940485557
38, 39, './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/put_bread,cheese,bread/1/flow_x_00040.png', 4.792977359565703
