0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0002.png', 5.047773213550656
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0003.png', 4.9165398933142574
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0004.png', 4.882893043839298
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0005.png', 4.975821830778528
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0006.png', 5.209263179848318
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0007.png', 5.3595740041683255
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0008.png', 5.207699593237906
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0009.png', 5.099220070639282
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0010.png', 4.793271362380259
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0011.png', 4.822116762779462
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0012.png', 5.114343307343407
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0013.png', 4.869843663348332
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0014.png', 4.894617441847742
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0015.png', 4.902929659056342
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0016.png', 5.202924108077638
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0017.png', 4.8048775224502664
16, 17, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0018.png', 4.975162511912883
17, 18, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0019.png', 5.065594171265653
18, 19, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0020.png', 4.92238883185545
19, 20, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0021.png', 4.56518287080804
20, 21, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0022.png', 4.797993641294411
21, 22, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0023.png', 5.093409207387984
22, 23, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0024.png', 4.738384995512018
23, 24, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0025.png', 5.089898553434782
24, 25, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0026.png', 4.879786855544262
25, 26, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0027.png', 5.067589756387215
26, 27, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0028.png', 5.049673091953985
27, 28, './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/1/rgb/rgb0029.png', 4.68861022618006
