0, 1, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00002.png', 6.866493757852495
1, 2, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00003.png', 6.492768262274605
2, 3, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00004.png', 5.802270440489756
3, 4, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00005.png', 5.556540422422202
4, 5, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00006.png', 5.169741853504423
5, 6, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00007.png', 5.654249956378803
6, 7, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00008.png', 4.917002185397506
7, 8, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00009.png', 5.326689090649835
8, 9, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00010.png', 5.771300872185487
9, 10, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00011.png', 4.2523932134083005
10, 11, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00012.png', 4.600716387572168
11, 12, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00013.png', 5.282416992720761
12, 13, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00014.png', 4.911810036634255
13, 14, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00015.png', 4.57478711657785
14, 15, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00016.png', 5.163295312328953
15, 16, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00017.png', 3.9668812405982052
16, 17, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00018.png', 4.6038236531614665
17, 18, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00019.png', 5.836372227291164
18, 19, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/1/flow_y_00020.png', 5.656268788348956
