0, 1, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00002.png', 4.672644111231065
1, 2, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00003.png', 4.345451036297237
2, 3, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00004.png', 4.581101582844883
3, 4, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00005.png', 4.626805236803689
4, 5, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00006.png', 4.749331493231571
5, 6, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00007.png', 4.832502511338279
6, 7, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00008.png', 4.806581432814481
7, 8, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00009.png', 3.4336887629743034
8, 9, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00010.png', 3.4124283089105814
9, 10, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00011.png', 3.6301914024020996
10, 11, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00012.png', 3.759734773694852
11, 12, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00013.png', 3.3531118454814353
12, 13, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00014.png', 3.482432528845532
13, 14, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00015.png', 3.713017111721948
14, 15, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00016.png', 3.973791302832659
15, 16, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00017.png', 4.118728064686368
16, 17, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00018.png', 4.04276366234242
17, 18, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00019.png', 3.914283987622142
18, 19, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00020.png', 4.562402455034639
19, 20, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00021.png', 4.674552872446706
20, 21, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00022.png', 4.845769770347748
21, 22, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00023.png', 3.8279487724092562
22, 23, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00024.png', 4.103735352874485
23, 24, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00025.png', 3.9440728577737274
24, 25, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00026.png', 4.980115202466938
25, 26, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00027.png', 5.084427955345069
26, 27, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00028.png', 4.773765887474541
27, 28, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00029.png', 4.059081726546074
28, 29, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00030.png', 4.259676025361096
29, 30, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00031.png', 4.5320371951122524
30, 31, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00032.png', 5.178199569315866
31, 32, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00033.png', 4.17892816519986
32, 33, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00034.png', 4.707930949501531
33, 34, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00035.png', 4.242124013946437
34, 35, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00036.png', 4.04268549659851
35, 36, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00037.png', 4.136794583551035
36, 37, './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_ketchup,hotdog,bread/1/flow_x_00038.png', 3.524573946541748
