0, 1, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00002.png', 5.2052879340675275
1, 2, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00003.png', 5.520032056813217
2, 3, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00004.png', 6.23884593279012
3, 4, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00005.png', 5.757089593697173
4, 5, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00006.png', 5.296290851133557
5, 6, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00007.png', 4.6011853957065965
6, 7, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00008.png', 5.2307629066202725
7, 8, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00009.png', 4.4801791532636965
8, 9, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00010.png', 5.345214774354644
9, 10, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00011.png', 5.07253461296434
10, 11, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00012.png', 4.239074501364141
11, 12, './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_sugar,spoon,cup/3/flow_y_00013.png', 4.194599342890852
