0, 1, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00002.png', 5.30557443350579
1, 2, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00003.png', 6.413457233187873
2, 3, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00004.png', 6.723007888100839
3, 4, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00005.png', 5.316374461351276
4, 5, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00006.png', 5.457161783726243
5, 6, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00007.png', 5.001064441057626
6, 7, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00008.png', 5.9154688697436635
7, 8, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00009.png', 5.691343363202555
8, 9, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00010.png', 4.943721651403968
9, 10, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00011.png', 4.8735643294315905
10, 11, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00012.png', 4.497118517216106
11, 12, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00013.png', 5.8213539868520865
12, 13, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00014.png', 5.121344373588716
13, 14, './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/put_bread,cheese,bread/1/flow_y_00015.png', 5.791395198526658
