0, 1, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0002.png', 5.159757318414588
1, 2, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0003.png', 4.777103450495534
2, 3, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0004.png', 4.673880416103966
3, 4, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0005.png', 4.367296756849713
4, 5, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0006.png', 4.492006961485266
5, 6, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0007.png', 5.291743318472113
6, 7, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0008.png', 4.826062819035827
7, 8, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0009.png', 4.954016917125134
8, 9, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0010.png', 4.676103386157379
9, 10, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0011.png', 4.796212886829306
10, 11, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0012.png', 4.632602387761711
11, 12, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0013.png', 4.629753900184431
12, 13, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0014.png', 4.366550726969689
13, 14, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0015.png', 4.00180429553493
14, 15, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0016.png', 4.643430070659889
15, 16, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0017.png', 5.009671977250519
16, 17, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0018.png', 4.977066361747116
17, 18, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0019.png', 5.286372721238483
18, 19, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0020.png', 4.823666904597045
19, 20, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0021.png', 4.553825146919864
20, 21, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0022.png', 4.712632875394969
21, 22, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0023.png', 4.338791846450481
22, 23, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0024.png', 4.133965792516381
23, 24, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0025.png', 4.212865818211865
24, 25, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0026.png', 4.543299850440552
25, 26, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0027.png', 4.596324353037368
26, 27, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0028.png', 4.904667638909614
27, 28, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0029.png', 5.016394293563177
28, 29, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0030.png', 5.122259928488092
29, 30, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/4/rgb/rgb0031.png', 5.304582695023792
