0, 1, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0002.png', 0.2998116179496483
1, 2, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0003.png', 0.26761110406194305
2, 3, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0004.png', 0.19286544291703955
3, 4, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0005.png', 0.14400691602996063
4, 5, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0006.png', 0.1493881393181406
5, 6, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0007.png', 0.11775366575520602
6, 7, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0008.png', 0.11626899201153933
7, 8, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0009.png', 0.0814299024966442
8, 9, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0010.png', 0.11472701281595034
9, 10, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0011.png', 0.3588807573986669
10, 11, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0012.png', 0.286943742845696
11, 12, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0013.png', 0.2261490406043021
12, 13, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0014.png', 0.1937283896118382
13, 14, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0015.png', 0.13175728269683598
14, 15, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0016.png', 0.10692022678978552
15, 16, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0017.png', 0.1457762204408542
16, 17, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0018.png', 0.10390933234194351
17, 18, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0019.png', 0.07920673983698592
18, 19, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0020.png', 0.10060508054283286
19, 20, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0021.png', 0.07823246525771237
20, 21, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0021.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0022.png', 0.08312898623196864
21, 22, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0022.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0023.png', 0.08057678461025063
22, 23, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0023.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0024.png', 0.0712016704852436
23, 24, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0024.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0025.png', 0.07977835436813395
24, 25, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0025.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0026.png', 0.09417320274709648
25, 26, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0026.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/2/mmaps/map0027.png', 0.22817184548971353
