0, 1, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0002.png', 5.527739764148471
1, 2, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0003.png', 5.371555243972461
2, 3, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0004.png', 5.185035905842299
3, 4, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0005.png', 5.2175851466825165
4, 5, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0006.png', 4.991296501515303
5, 6, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0007.png', 5.450091281704102
6, 7, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0008.png', 5.351822652006335
7, 8, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0009.png', 5.324953503794612
8, 9, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0010.png', 5.332694354626628
9, 10, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0011.png', 5.229994108080591
10, 11, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0012.png', 5.411381973750009
11, 12, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0013.png', 5.318166586697986
12, 13, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0014.png', 5.23085344387343
13, 14, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0015.png', 5.607136692621347
14, 15, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0016.png', 5.33244666869065
15, 16, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0017.png', 4.986624139868457
16, 17, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0018.png', 5.207020551360439
17, 18, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0019.png', 5.123555736225558
18, 19, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0020.png', 5.198824142903902
19, 20, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0021.png', 5.218386909266625
20, 21, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0022.png', 4.867549920703659
21, 22, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0023.png', 5.008146724102835
22, 23, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0024.png', 4.8371541340062025
23, 24, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0025.png', 5.017470635434953
24, 25, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/rgb/rgb0026.png', 4.877326536772105
