0, 1, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00002.png', 5.1237333272204
1, 2, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00003.png', 5.975929447384543
2, 3, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00004.png', 5.571347142907897
3, 4, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00005.png', 6.003200332226574
4, 5, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00006.png', 4.813802413719499
5, 6, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00007.png', 4.607296323060297
6, 7, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00008.png', 4.738271053336165
7, 8, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00009.png', 5.233720546805398
8, 9, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00010.png', 5.054706132569074
9, 10, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00011.png', 5.809722802925277
10, 11, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00012.png', 6.393636356145692
11, 12, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00013.png', 5.188926384690202
12, 13, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00014.png', 5.868344806329216
13, 14, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00015.png', 5.7582403214702005
14, 15, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00016.png', 5.554973960460654
15, 16, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00017.png', 6.055798915120452
16, 17, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00018.png', 5.794537843177819
17, 18, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00019.png', 4.89516058202382
18, 19, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00020.png', 5.791081009438621
19, 20, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00021.png', 5.9302463148366895
20, 21, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00022.png', 6.510007985899326
21, 22, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00023.png', 6.31415419524369
22, 23, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00024.png', 6.430632582531656
23, 24, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00025.png', 6.34583489571833
24, 25, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00026.png', 6.306415449263872
25, 26, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00027.png', 7.131356667062745
26, 27, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00028.png', 6.370083805121881
27, 28, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00029.png', 6.993509460735767
28, 29, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00030.png', 7.039856097441859
29, 30, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00031.png', 6.994832149478935
30, 31, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00032.png', 6.93445253743004
31, 32, './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/spread_peanut,spoon,bread/1/flow_y_00033.png', 6.8611249837539185
